itemName,currentItemId,finalItemId,koreanName,category,tier,appearCount,totalQuantity,sampleStudentId,sampleSkillType,needsReview
Advanced Tactical Training Blu-ray (Valkyrie),advanced_tactical_training_blu_ray_valkyrie,valkyrie_bd_t2,발키리 상급 전술교육 BD,bd,2,4,60,kurumi,ex,false
Advanced Tech Notes (Valkyrie),advanced_tech_notes_valkyrie,valkyrie_note_t2,발키리 상급 기술 노트,note,2,18,150,kurumi,normal,false
Annotated Rohonc Codex,annotated_rohonc_codex,annotated_rohonc_codex,Annotated Rohonc Codex,oopart,2,4,18,kurumi,ex,true
Beginner Tactical Training Blu-ray (Valkyrie),beginner_tactical_training_blu_ray_valkyrie,valkyrie_bd_t0,발키리 초급 전술교육 BD,bd,0,4,60,kurumi,ex,false
Beginner Tech Notes (Valkyrie),beginner_tech_notes_valkyrie,valkyrie_note_t0,발키리 초급 기술 노트,note,0,18,150,kurumi,normal,false
Broken Nimrud Lens,broken_nimrud_lens,broken_nimrud_lens,Broken Nimrud Lens,oopart,0,7,60,niko,ex,true
Broken Quimbaya Relic,broken_quimbaya_relic,broken_quimbaya_relic,Broken Quimbaya Relic,oopart,0,4,76,niko,ex,true
Credits,credit,credit,크레딧,currency,,62,80035000,kurumi,ex,false
Damaged Nimrud Lens,damaged_nimrud_lens,damaged_nimrud_lens,Damaged Nimrud Lens,oopart,1,4,20,niko,ex,true
Damaged Rohonc Codex,damaged_rohonc_codex,damaged_rohonc_codex,Damaged Rohonc Codex,oopart,1,7,53,kurumi,ex,true
Golden Thread,golden_thread,golden_thread,Golden Thread,oopart,,7,117,kurumi,ex,true
Golden Thread Spool,golden_thread_spool,golden_thread_spool,Golden Thread Spool,oopart,,4,75,kurumi,ex,true
Golden Thread Yarn,golden_thread_yarn,golden_thread_yarn,Golden Thread Yarn,oopart,,7,88,kurumi,ex,true
Intact Nimrud Lens,intact_nimrud_lens,intact_nimrud_lens,Intact Nimrud Lens,oopart,3,7,46,niko,ex,true
Intact Rohonc Codex,intact_rohonc_codex,intact_rohonc_codex,Intact Rohonc Codex,oopart,3,7,48,kurumi,ex,true
Nimrud Lens Piece,nimrud_lens_piece,nimrud_lens_piece,Nimrud Lens Piece,oopart,,4,28,niko,ex,true
Normal Tactical Training Blu-ray (Valkyrie),normal_tactical_training_blu_ray_valkyrie,valkyrie_bd_t1,발키리 일반 전술교육 BD,bd,1,4,60,kurumi,ex,false
Normal Tech Notes (Valkyrie),normal_tech_notes_valkyrie,valkyrie_note_t1,발키리 일반 기술 노트,note,1,18,150,kurumi,normal,false
Quimbaya Relic Piece,quimbaya_relic_piece,quimbaya_relic_piece,Quimbaya Relic Piece,oopart,,7,130,niko,ex,true
Repaired Quimbaya Relic,repaired_quimbaya_relic,repaired_quimbaya_relic,Repaired Quimbaya Relic,oopart,,7,91,niko,ex,true
Rohonc Codex Page,rohonc_codex_page,rohonc_codex_page,Rohonc Codex Page,oopart,,4,29,kurumi,ex,true
Secret Tech Notes,secret_tech_notes,secret_tech_sheet,비의서,skill_book,,6,6,kurumi,normal,false
Superior Tactical Training Blu-ray (Valkyrie),superior_tactical_training_blu_ray_valkyrie,valkyrie_bd_t3,발키리 최상급 전술교육 BD,bd,3,2,16,kurumi,ex,false
Superior Tech Notes (Valkyrie),superior_tech_notes_valkyrie,valkyrie_note_t3,발키리 최상급 기술 노트,note,3,12,120,kurumi,normal,false
