itemName,currentItemId,finalItemId,koreanName,category,tier,appearCount,totalQuantity,sampleStudentId,sampleSkillType,needsReview
Advanced Tactical Training Blu-ray (Valkyrie),advanced_tactical_training_blu_ray_valkyrie,,,,2,4,60,kurumi,ex,true
Advanced Tech Notes (Valkyrie),advanced_tech_notes_valkyrie,,,,2,18,150,kurumi,normal,true
Annotated Rohonc Codex,annotated_rohonc_codex,,,,2,4,18,kurumi,ex,true
Beginner Tactical Training Blu-ray (Valkyrie),beginner_tactical_training_blu_ray_valkyrie,,,,0,4,60,kurumi,ex,true
Beginner Tech Notes (Valkyrie),beginner_tech_notes_valkyrie,,,,0,18,150,kurumi,normal,true
Broken Nimrud Lens,broken_nimrud_lens,,,,,7,60,niko,ex,true
Broken Quimbaya Relic,broken_quimbaya_relic,,,,,4,76,niko,ex,true
Credits,credit,,,,,62,80035000,kurumi,ex,true
Damaged Nimrud Lens,damaged_nimrud_lens,,,,1,4,20,niko,ex,true
Damaged Rohonc Codex,damaged_rohonc_codex,,,,1,7,53,kurumi,ex,true
Golden Thread,golden_thread,,,,,7,117,kurumi,ex,true
Golden Thread Spool,golden_thread_spool,,,,,4,75,kurumi,ex,true
Golden Thread Yarn,golden_thread_yarn,,,,,7,88,kurumi,ex,true
Intact Nimrud Lens,intact_nimrud_lens,,,,3,7,46,niko,ex,true
Intact Rohonc Codex,intact_rohonc_codex,,,,3,7,48,kurumi,ex,true
Nimrud Lens Piece,nimrud_lens_piece,,,,,4,28,niko,ex,true
Normal Tactical Training Blu-ray (Valkyrie),normal_tactical_training_blu_ray_valkyrie,,,,1,4,60,kurumi,ex,true
Normal Tech Notes (Valkyrie),normal_tech_notes_valkyrie,,,,1,18,150,kurumi,normal,true
Quimbaya Relic Piece,quimbaya_relic_piece,,,,,7,130,niko,ex,true
Repaired Quimbaya Relic,repaired_quimbaya_relic,,,,,7,91,niko,ex,true
Rohonc Codex Page,rohonc_codex_page,,,,0,4,29,kurumi,ex,true
Secret Tech Notes,secret_tech_notes,,,,,6,6,kurumi,normal,true
Superior Tactical Training Blu-ray (Valkyrie),superior_tactical_training_blu_ray_valkyrie,,,,3,2,16,kurumi,ex,true
Superior Tech Notes (Valkyrie),superior_tech_notes_valkyrie,,,,3,12,120,kurumi,normal,true
